image_id,question,question_id,question_type,answer_type,multiple_choice_answer,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,answer_10,explanation_1,explanation_2,explanation_3
393271,Does this appear to be a photo of multiple exposures of the black clad snowboarder?,393271001,does this,yes/no,yes,"('yes', 'yes')","('yes', 'yes')","('yes', 'maybe')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')",The figure is dressed the same going down a hill.,it seems to be the same snowboarder doing different tricks.,the same snowboarder is present many times.
393284,Is this a beach scene?,393284000,is this a,yes/no,no,"('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'maybe')","('no', 'maybe')","('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')",The ground is covered in snow.,there is snow on the ground and the person in this image is snowboarding.,There is a lot of snow and a man snowboarding
393338,What kind of flowers are in the vase?,393338001,what kind of,other,tulips,"('tulips', 'yes')","('roses', 'maybe')","('tulips', 'yes')","('tulips', 'yes')","('tulips', 'yes')","('tulips', 'yes')","('tulips', 'yes')","('tulips', 'yes')","('tulips', 'yes')","('tulips', 'yes')",they are yellow and red with petals shaped in an oval.,they look like they are made of two lips,They are bright spring flowers shaped like a U.
524436,Is it raining?,524436004,is it,yes/no,no,"('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')",The young couple are kissing on the bench and they are completely dry,water is not on the tops of the cars,there is no water anywhere and nothing is wet.
262531,What is the man in the hat doing?,262531001,what is the man,other,skateboarding,"('skateboarding', 'yes')","('skateboarding', 'yes')","('skateboarding', 'yes')","('skateboarding', 'yes')","('skateboarding', 'yes')","('skateboarding', 'yes')","('skateboarding', 'yes')","('skateboarding', 'yes')","('skateboarding', 'yes')","('skateboarding', 'yes')",he's riding on a skateboard,He is bent low atop a board with wheels.,He is riding on a skateboard.
262608,Is rice part of this meal?,262608003,is,yes/no,yes,"('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')",there is food on a plate.,I can see rice underneath the meat and next to the vegetables.,there is rice mixed in with the food.
262651,Is this a leisure boat?,262651002,is this a,yes/no,no,"('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')",this boat is a large barge.,it is designed to move cargo.,It is a large boat for cargo.
524822,What room is this?,524822007,what room is,other,living room,"('living', 'yes')","('living room', 'yes')","('living room', 'yes')","('living room', 'yes')","('living room', 'yes')","('living room', 'yes')","('living room', 'yes')","('living room', 'yes')","('living room', 'yes')","('living room', 'yes')",it is one room with couches and a TV,"this room has a fireplace, a couch, multiple armchairs, and a television mounted on the wall.",There is a sectional couch and a television and fire place.
544,What are they playing?,544006,what are,other,baseball,"('baseball', 'yes')","('baseball', 'yes')","('baseball', 'yes')","('baseball', 'yes')","('baseball', 'yes')","('baseball', 'yes')","('baseball', 'yes')","('baseball', 'yes')","('baseball', 'yes')","('baseball', 'yes')",A man in uniform is swinging his bat at a baseball coming towards him,"the batter, who is standing next to home plate, has just swung his baseball bat and hit a baseball.",there is a batter and catcher at home base.
544,What sport is this?,544014,what sport is,other,baseball,"('baseball', 'yes')","('baseball', 'yes')","('baseball', 'yes')","('baseball', 'yes')","('baseball', 'yes')","('baseball', 'yes')","('baseball', 'yes')","('baseball', 'maybe')","('baseball', 'yes')","('baseball', 'yes')",In the crowd filled stadium the fans watch the batter swing.,the man is swinging a bat at the ball,"a catcher, with a catcher's mitt is squatting behind home plate."
187695,What kind of food is this?,187695002,what kind of,other,hot dog,"('hot dog', 'yes')","('hot dog', 'yes')","('hot dog', 'maybe')","('hot dog', 'yes')","('hot dog', 'yes')","('hot dog', 'yes')","('hot dog', 'yes')","('hot dog', 'yes')","('hot dog', 'yes')","('hot dog', 'yes')",There is a bun and hotdog with onions and condiments on top.,it is on a bun with chili and cheese.,it is a hotdog in a bun with toppings.
131869,What sport is being played?,131869001,what sport is,other,tennis,"('tennis', 'yes')","('tennis', 'yes')","('tennis', 'yes')","('tennis', 'yes')","('tennis', 'yes')","('tennis', 'yes')","('tennis', 'yes')","('tennis', 'yes')","('tennis', 'yes')","('tennis', 'yes')",the man is poised to backhand the tennis ball,a woman is holding a tennis racket on a court.,the man is swinging a tennis racket on a tennis court.
525354,Does this person wear a tie?,525354003,does this,yes/no,yes,"('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')",the top of the tie is visible,He is dressed in a formal way.,the tie is visible between the top folds of his shirt
263258,What game is this?,263258002,what,other,baseball,"('baseball', 'yes')","('baseball', 'yes')","('baseball', 'yes')","('baseball', 'yes')","('baseball', 'yes')","('baseball', 'yes')","('baseball', 'yes')","('baseball', 'yes')","('baseball', 'yes')","('baseball', 'yes')",The awestruck young man is looking at a baseball bat in front of a bullpen full of older players.,a boy is wearing a helmet and holding a baseball bat.,the uniformed boy is holding a baseball bat
525420,Does this room need maintenance?,525420000,does this,yes/no,yes,"('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')",there are holes in the walls and they are peeling.,the plaster wall is broken and needs repaired,the wall has water damage
394418,What sport is the man playing?,394418000,what sport is,other,tennis,"('tennis', 'yes')","('tennis', 'yes')","('tennis', 'yes')","('tennis', 'yes')","('tennis', 'yes')","('tennis', 'yes')","('tennis', 'yes')","('tennis', 'yes')","('tennis', 'yes')","('tennis', 'yes')",The man is swinging a tennis racket purposefully at a ball.,The athlete is reaching with his racket to hit a tennis ball.,Stretching high above his head he is reaching to hit a tennis ball.
263505,Is the parking lot marked in white lines?,263505001,is the,yes/no,yes,"('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')",There are squares painted on the ground.,there are white lines on the pavement,there are several white lines around.
132733,Does the dog like Scooby Snacks?,132733000,does the,yes/no,yes,"('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')",The dog has torn open a box of scooby snacks and is eating them.,it is sniffing scooby snacks,its mouth is near the foot item.
264180,What animal is this?,264180001,what animal is,other,cow,"('cow', 'yes')","('cow', 'yes')","('cow', 'yes')","('ckw', 'yes')","('cow', 'yes')","('cow', 'yes')","('cow', 'yes')","('cow', 'yes')","('cow', 'yes')","('cow', 'yes')",it has black and white spot.,The animal has a large tongue sticking out and is huge with four hooves.,it has black and white fur on it
395283,What is the man doing?,395283003,what is the man,other,flying kite,"('flying kite', 'yes')","('flying kite', 'yes')","('flying kite', 'yes')","('flying kite', 'yes')","('flying kite', 'yes')","('flying kite', 'yes')","('flying kite', 'maybe')","('kite flying', 'yes')","('flying kite', 'yes')","('flying kite', 'yes')",he is holding a string hooked to the kite,he is holding two string holders and pulling on the kite.,he is holding the strings attached to it as it moves in the air.
264279,What sport is he doing?,264279004,what sport is,other,surfing,"('surfing', 'yes')","('surfing', 'yes')","('surfing', 'yes')","('surfing', 'yes')","('surfing', 'yes')","('surfing', 'yes')","('surfing', 'yes')","('surfing', 'yes')","('surfing', 'yes')","('surfing', 'yes')",The person is standing on a board in the ocean.,he is standing on a board in the water on a small wave.,he is on top of waves.
526425,What kind of dog is this?,526425003,what kind of,other,german shepherd,"('german shepherd', 'yes')","('german shepherd', 'yes')","('german shepherd', 'yes')","('german shepherd', 'yes')","('german shepherd', 'yes')","('german shepherd', 'yes')","('mixed breed', 'yes')","('shepherd', 'maybe')","('german shepherd', 'yes')","('mutt', 'maybe')",german shepherds have long bushy tails and black backs,this large brown and black dog has a long snout and ears that stick up.,it is big and has brown and black fur
264382,What sport are they playing?,264382000,what,other,baseball,"('baseball', 'yes')","('baseball', 'yes')","('baseball', 'yes')","('baseball', 'yes')","('baseball', 'yes')","('baseball', 'yes')","('baseball', 'yes')","('baseball', 'yes')","('baseball', 'yes')","('baseball', 'yes')",a man is wearing a glove an pitching a ball.,a pitcher is about to throw a baseball.,he has a mitt on.
