image_id,question,question_id,question_type,answer_type,multiple_choice_answer,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,answer_10,explanation_1,explanation_2,explanation_3
447087,Are this flowers for a special event?,447087001,are,yes/no,yes,"('yes', 'yes')","('yes', 'yes')","('yes', 'maybe')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')",they are in gold vases.,they are all lavish and large.,There are many flowers arranged in an artful fashion.
578655,Are the waves big?,578655006,are the,yes/no,yes,"('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('no', 'yes')","('yes', 'yes')","('yes', 'yes')",The waves are crashing down and causing the ocean to be covered in froth.,A kite surfer is dwarfed by the size of a wave.,The waves are much larger than the people surfing.
428161,Are these men likely at an event?,428161000,are these,yes/no,yes,"('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('no', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'maybe')",They have name tags on and are both dressed in suits.,they are wearing a suit and a tie.,themen are dressed in suits and one has a name tag.
231945,Could this be a political event?,231945002,could,yes/no,yes,"('yes', 'maybe')","('yes', 'yes')","('yes', 'maybe')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('no', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')",There are lots of American flags and a picture of a former president.,there are floats with patriotic decorations,an American flag is shown outside.
531047,Do these people look like they are celebrating a special event?,531047000,do,yes/no,yes,"('yes', 'maybe')","('no', 'maybe')","('yes', 'maybe')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'maybe')","('yes', 'yes')","('yes', 'yes')",they are holding glasses of champagne and toasting.,The all have glasses of champagne.,they are toasting glasses of champagne.
509503,Does the car have its headlights on?,509503002,does the,yes/no,yes,"('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')",the front lights are lit up.,it is gloomy conditions today.,I can see the lights from the headlights.
420466,Does this look like a zoo?,420466000,does this,yes/no,no,"('no', 'yes')","('no', 'yes')","('no', 'yes')","('yes', 'maybe')","('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'maybe')","('no', 'maybe')","('no', 'yes')",The giraffe is running freely.,the giraffe does not seem to be enclosed.,the giraffe is walking across an open field
383950,Has the sign been defaced?,383950004,has,yes/no,yes,"('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('no', 'yes')","('yes', 'maybe')","('no', 'maybe')","('no', 'yes')","('yes', 'maybe')","('yes', 'yes')","('yes', 'yes')",There is a sticker and graffiti on the back of it.,there is writing on the sign that is not part of the sign itself.,there are words written in marker.
27946,Is M102 on this bus?,27946001,is,yes/no,yes,"('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')",it is lit on the bus service sign.,The sign on the top of the bus reads m102.,you can see a sign lit up on the front
345466,Is he getting ready to throw or catch the ball?,345466001,is he,other,throw,"('throw', 'yes')","('throw', 'yes')","('throw', 'yes')","('yes', 'yes')","('throw', 'yes')","('throw', 'yes')","('throw', 'yes')","('throw', 'yes')","('throw', 'yes')","('throw', 'yes')",his arm is wound up and he is stepping forward,he is winding up for a pitch.,the pitcher is getting ready to throw the baseball.
144706,Is it raining?,144706002,is it,yes/no,yes,"('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'no')","('yes', 'yes')","('yes', 'yes')",raindrops are covering the entire scene,Drops of water are covering the scene.,It is wet and there are water drops on the window.
505169,Is that a chain shower curtain?,505169000,is that a,yes/no,yes,"('yes', 'yes')","('yes', 'yes')","('yes', 'maybe')","('yes', 'maybe')","('yes', 'maybe')","('yes', 'yes')","('yes', 'yes')","('yes', 'maybe')","('yes', 'yes')","('yes', 'yes')",there are chains hanging from a curtain rod,there are shower handles present.,there are chains hanging down from the railing
82042,Is the animal full grown?,82042005,is the,yes/no,yes,"('yes', 'yes')","('yes', 'yes')","('no', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'maybe')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('no', 'yes')",The black and white cat appears to be an adult.,"There is a cat on the bed, no a kitten.",cats are relatively small when full grown
150872,Is the man young?,150872001,is the man,yes/no,no,"('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')",the man has grey/silver hair.,he has grey hair and is wrinkled.,his hair is very gray.
41638,Is the person a male or female?,41638002,is the person,other,female,"('female', 'yes')","('female', 'yes')","('female', 'yes')","('female', 'yes')","('female', 'yes')","('female', 'yes')","('female', 'yes')","('female', 'yes')","('female', 'yes')","('female', 'yes')",the have feminine features and long hair,she has long blonde hair and a pretty smile.,this person has famine look to her face and hair.
