image_id,question,question_id,question_type,answer_type,multiple_choice_answer,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,answer_10,explanation_1,explanation_2,explanation_3,prediction,prediction_explanation_w_pred,prediction_explanation_1_w_gt,prediction_explanation_2_w_gt,prediction_explanation_3_w_gt
447087,Are this flowers for a special event?,447087001,are,yes/no,yes,"('yes', 'yes')","('yes', 'yes')","('yes', 'maybe')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')",they are in gold vases.,they are all lavish and large.,There are many flowers arranged in an artful fashion.,Yes,The flowers are for a wedding.,"The flowers are red, purple, and gold which are colors associated with celebrations.",The activity is It is a wedding. It has no human presence.,The flowers are for a wedding.
578655,Are the waves big?,578655006,are the,yes/no,yes,"('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('no', 'yes')","('yes', 'yes')","('yes', 'yes')",The waves are crashing down and causing the ocean to be covered in froth.,A kite surfer is dwarfed by the size of a wave.,The waves are much larger than the people surfing.,no,The waves are small and the man is flying a kite over the ocean.,The man is flying a kite in the ocean.,The waves are big because the man is kitesurfing in the ocean.,The waves are big because the man is flying a kite over the ocean.
428161,Are these men likely at an event?,428161000,are these,yes/no,yes,"('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('no', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'maybe')",They have name tags on and are both dressed in suits.,they are wearing a suit and a tie.,themen are dressed in suits and one has a name tag.,Yes,The men are dressed in suits and ties which is a sign of an event.,The men are wearing suits and ties which are usually worn at events.,The men are wearing suits which is a sign of an event.,The men are dressed in suits and ties which is a sign of an event.
231945,Could this be a political event?,231945002,could,yes/no,yes,"('yes', 'maybe')","('yes', 'yes')","('yes', 'maybe')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('no', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')",There are lots of American flags and a picture of a former president.,there are floats with patriotic decorations,an American flag is shown outside.,No,The truck is carrying people and a banner.,The people are wearing t-shirts with American flags on them.,The truck has a flag on it and the people are in t-shirts.,The truck has an American flag on the back.
531047,Do these people look like they are celebrating a special event?,531047000,do,yes/no,yes,"('yes', 'maybe')","('no', 'maybe')","('yes', 'maybe')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'maybe')","('yes', 'yes')","('yes', 'yes')",they are holding glasses of champagne and toasting.,The all have glasses of champagne.,they are toasting glasses of champagne.,Yes,The people are toasting with champagne glasses which is a sign of celebration.,The people are holding champagne glasses which is a sign of celebration.,The people are holding champagne glasses which is a sign of celebration.,The people are toasting with champagne glasses which is a sign of celebration.
509503,Does the car have its headlights on?,509503002,does the,yes/no,yes,"('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')",the front lights are lit up.,it is gloomy conditions today.,I can see the lights from the headlights.,no,The car is not in the picture.,The car is driving down the street.,The car is parked on the street.,The car is driving down the street at night.
420466,Does this look like a zoo?,420466000,does this,yes/no,no,"('no', 'yes')","('no', 'yes')","('no', 'yes')","('yes', 'maybe')","('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'maybe')","('no', 'maybe')","('no', 'yes')",The giraffe is running freely.,the giraffe does not seem to be enclosed.,the giraffe is walking across an open field,No,The giraffe is walking through a field.,The giraffe is walking through a grassy field.,The giraffe is walking through a grassy field.,The giraffe is walking through a field.
383950,Has the sign been defaced?,383950004,has,yes/no,yes,"('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('no', 'yes')","('yes', 'maybe')","('no', 'maybe')","('no', 'yes')","('yes', 'maybe')","('yes', 'yes')","('yes', 'yes')",There is a sticker and graffiti on the back of it.,there is writing on the sign that is not part of the sign itself.,there are words written in marker.,no,The sign is in good condition.,The sign has been defaced with a picture of flaming lips.,The sign has been defaced with flaming lips written on it.,The sign has been defaced with a picture of flaming lips.
27946,Is M102 on this bus?,27946001,is,yes/no,yes,"('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')",it is lit on the bus service sign.,The sign on the top of the bus reads m102.,you can see a sign lit up on the front,no,M102 is a fictional character.,The bus is driving down a city street at night.,The bus is traveling down a city street at night.,The bus is driving down the street at night.
345466,Is he getting ready to throw or catch the ball?,345466001,is he,other,throw,"('throw', 'yes')","('throw', 'yes')","('throw', 'yes')","('yes', 'yes')","('throw', 'yes')","('throw', 'yes')","('throw', 'yes')","('throw', 'yes')","('throw', 'yes')","('throw', 'yes')",his arm is wound up and he is stepping forward,he is winding up for a pitch.,the pitcher is getting ready to throw the baseball.,throw,The baseball player is throwing a pitch.,The baseball player is throwing the ball.,The player is on the pitcher's mound.,The baseball player is throwing a pitch.
